Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128
28,No,Non-Travel,120,Sales,4,3,Medical,1,129
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155
